Archetype,Attribute,Level,Cost
Progressor,Agility,71,6
Progressor,Agility,72,6
Progressor,Agility,73,6
Progressor,Agility,74,6
Progressor,Agility,75,8
Progressor,Agility,76,8
Progressor,Agility,77,8
Progressor,Agility,78,8
Progressor,Agility,79,8
Progressor,Agility,80,10
Progressor,Agility,81,10
Progressor,Agility,82,10
Progressor,Agility,83,10
Progressor,Agility,84,10
Progressor,Agility,85,15
Progressor,Agility,86,15
Progressor,Agility,87,15
Progressor,Agility,88,15
Progressor,Agility,89,15
Progressor,Agility,90,20
Progressor,Agility,91,20
Progressor,Agility,92,20
Progressor,Balance,71,4
Progressor,Balance,72,4
Progressor,Balance,73,4
Progressor,Balance,74,4
Progressor,Balance,75,6
Progressor,Balance,76,6
Progressor,Balance,77,6
Progressor,Balance,78,6
Progressor,Balance,79,6
Progressor,Balance,80,7
Progressor,Balance,81,7
Progressor,Balance,82,7
Progressor,Balance,83,7
Progressor,Balance,84,7
Progressor,Balance,85,11
Progressor,Balance,86,11
Progressor,Balance,87,11
Progressor,Balance,88,11
Progressor,Balance,89,11
Progressor,Balance,90,15
Progressor,Balance,91,15
Progressor,Balance,92,15
Progressor,Reactions,66,2
Progressor,Reactions,67,2
Progressor,Reactions,68,2
Progressor,Reactions,69,2
Progressor,Reactions,70,3
Progressor,Reactions,71,3
Progressor,Reactions,72,3
Progressor,Reactions,73,3
Progressor,Reactions,74,3
Progressor,Reactions,75,4
Progressor,Reactions,76,4
Progressor,Reactions,77,4
Progressor,Reactions,78,4
Progressor,Reactions,79,4
Progressor,Reactions,80,5
Progressor,Reactions,81,5
Progressor,Reactions,82,5
Progressor,Reactions,83,5
Progressor,Reactions,84,5
Progressor,Reactions,85,8
Progressor,Reactions,86,8
Progressor,Reactions,87,8
Progressor,Reactions,88,8
Progressor,Reactions,89,8
Progressor,Reactions,90,11
Progressor,Reactions,91,11
Progressor,Reactions,92,13
Progressor,Reactions,93,13
Progressor,Reactions,94,15
Progressor,Reactions,95,20
Progressor,Reactions,96,25
Progressor,Reactions,97,30
Progressor,Reactions,98,35
Progressor,Reactions,99,40
Progressor,Ball Control,71,4
Progressor,Ball Control,72,4
Progressor,Ball Control,73,4
Progressor,Ball Control,74,4
Progressor,Ball Control,75,6
Progressor,Ball Control,76,6
Progressor,Ball Control,77,6
Progressor,Ball Control,78,6
Progressor,Ball Control,79,6
Progressor,Ball Control,80,7
Progressor,Ball Control,81,7
Progressor,Ball Control,82,7
Progressor,Ball Control,83,7
Progressor,Ball Control,84,7
Progressor,Ball Control,85,11
Progressor,Ball Control,86,11
Progressor,Ball Control,87,11
Progressor,Ball Control,88,11
Progressor,Ball Control,89,11
Progressor,Ball Control,90,15
Progressor,Ball Control,91,15
Progressor,Ball Control,92,15
Progressor,Ball Control,93,20
Progressor,Ball Control,94,20
Progressor,Ball Control,95,25
Progressor,Ball Control,96,30
Progressor,Dribbling,66,4
Progressor,Dribbling,67,5
Progressor,Dribbling,68,5
Progressor,Dribbling,69,5
Progressor,Dribbling,70,6
Progressor,Dribbling,71,6
Progressor,Dribbling,72,6
Progressor,Dribbling,73,6
Progressor,Dribbling,74,6
Progressor,Dribbling,75,8
Progressor,Dribbling,76,8
Progressor,Dribbling,77,8
Progressor,Dribbling,78,8
Progressor,Dribbling,79,8
Progressor,Dribbling,80,10
Progressor,Dribbling,81,10
Progressor,Dribbling,82,10
Progressor,Dribbling,83,10
Progressor,Dribbling,84,10
Progressor,Dribbling,85,15
Progressor,Dribbling,86,15
Progressor,Dribbling,87,15
Progressor,Dribbling,88,15
Progressor,Dribbling,89,15
Progressor,Dribbling,90,20
Progressor,Dribbling,91,20
Progressor,Dribbling,92,20
Progressor,Composure,76,3
Progressor,Composure,77,3
Progressor,Composure,78,3
Progressor,Composure,79,3
Progressor,Composure,80,3
Progressor,Composure,81,3
Progressor,Composure,82,3
Progressor,Composure,83,3
Progressor,Composure,84,3
Progressor,Composure,85,6
Progressor,Composure,86,6
Progressor,Composure,87,6
Progressor,Composure,88,6
Progressor,Composure,89,6
Progressor,Composure,90,8
Progressor,Composure,91,8
Progressor,Composure,92,8
Progressor,Composure,93,10
Progressor,Composure,94,10
Progressor,Composure,95,15
Progressor,Composure,96,20
Progressor,Vision,76,6
Progressor,Vision,77,6
Progressor,Vision,78,6
Progressor,Vision,79,6
Progressor,Vision,80,7
Progressor,Vision,81,7
Progressor,Vision,82,7
Progressor,Vision,83,7
Progressor,Vision,84,7
Progressor,Vision,85,11
Progressor,Vision,86,11
Progressor,Vision,87,11
Progressor,Vision,88,11
Progressor,Vision,89,11
Progressor,Vision,90,15
Progressor,Vision,91,15
Progressor,Vision,92,15
Progressor,Crossing,51,1
Progressor,Crossing,52,1
Progressor,Crossing,53,1
Progressor,Crossing,54,1
Progressor,Crossing,55,1
Progressor,Crossing,56,1
Progressor,Crossing,57,1
Progressor,Crossing,58,1
Progressor,Crossing,59,1
Progressor,Crossing,60,1
Progressor,Crossing,61,2
Progressor,Crossing,62,2
Progressor,Crossing,63,2
Progressor,Crossing,64,3
Progressor,Crossing,65,3
Progressor,Crossing,66,3
Progressor,Crossing,67,3
Progressor,Crossing,68,3
Progressor,Crossing,69,3
Progressor,Crossing,70,4
Progressor,Crossing,71,4
Progressor,Crossing,72,4
Progressor,Crossing,73,4
Progressor,Crossing,74,4
Progressor,Crossing,75,6
Progressor,Crossing,76,6
Progressor,Crossing,77,6
Progressor,Crossing,78,6
Progressor,Crossing,79,6
Progressor,Crossing,80,7
Progressor,Crossing,81,7
Progressor,Crossing,82,7
Progressor,Crossing,83,7
Progressor,Crossing,84,9
Progressor,Crossing,85,9
Progressor,Crossing,86,11
Progressor,Crossing,87,11
Progressor,Crossing,88,11
Progressor,Crossing,89,13
Progressor,Crossing,90,13
Progressor,Crossing,91,15
Progressor,Crossing,92,15
Progressor,FK Accuracy,46,1
Progressor,FK Accuracy,47,1
Progressor,FK Accuracy,48,1
Progressor,FK Accuracy,49,1
Progressor,FK Accuracy,50,1
Progressor,FK Accuracy,51,1
Progressor,FK Accuracy,52,1
Progressor,FK Accuracy,53,1
Progressor,FK Accuracy,54,1
Progressor,FK Accuracy,55,1
Progressor,FK Accuracy,56,1
Progressor,FK Accuracy,57,1
Progressor,FK Accuracy,58,1
Progressor,FK Accuracy,59,1
Progressor,FK Accuracy,60,1
Progressor,FK Accuracy,61,1
Progressor,FK Accuracy,62,1
Progressor,FK Accuracy,63,1
Progressor,FK Accuracy,64,1
Progressor,FK Accuracy,65,1
Progressor,FK Accuracy,66,4
Progressor,FK Accuracy,67,2
Progressor,FK Accuracy,68,2
Progressor,FK Accuracy,69,2
Progressor,FK Accuracy,70,3
Progressor,FK Accuracy,71,3
Progressor,FK Accuracy,72,3
Progressor,FK Accuracy,73,3
Progressor,FK Accuracy,74,3
Progressor,FK Accuracy,75,4
Progressor,FK Accuracy,76,4
Progressor,FK Accuracy,77,4
Progressor,FK Accuracy,78,4
Progressor,FK Accuracy,79,4
Progressor,FK Accuracy,80,5
Progressor,FK Accuracy,81,5
Progressor,FK Accuracy,82,5
Progressor,FK Accuracy,83,5
Progressor,FK Accuracy,84,5
Progressor,FK Accuracy,85,8
Progressor,FK Accuracy,86,8
Progressor,FK Accuracy,87,8
Progressor,FK Accuracy,88,8
Progressor,FK Accuracy,89,9
Progressor,FK Accuracy,90,10
Progressor,Short Passing,76,8
Progressor,Short Passing,77,8
Progressor,Short Passing,78,8
Progressor,Short Passing,79,9
Progressor,Short Passing,80,9
Progressor,Short Passing,81,10
Progressor,Short Passing,82,10
Progressor,Short Passing,83,10
Progressor,Short Passing,84,10
Progressor,Short Passing,85,15
Progressor,Short Passing,86,15
Progressor,Short Passing,87,15
Progressor,Short Passing,88,15
Progressor,Short Passing,89,15
Progressor,Short Passing,90,20
Progressor,Short Passing,91,20
Progressor,Short Passing,92,20
Progressor,Short Passing,93,25
Progressor,Short Passing,94,25
Progressor,Short Passing,95,30
Progressor,Short Passing,96,35
Progressor,Long Passing,76,3
Progressor,Long Passing,77,3
Progressor,Long Passing,78,3
Progressor,Long Passing,79,3
Progressor,Long Passing,80,3
Progressor,Long Passing,81,3
Progressor,Long Passing,82,3
Progressor,Long Passing,83,3
Progressor,Long Passing,84,3
Progressor,Long Passing,85,6
Progressor,Long Passing,86,6
Progressor,Long Passing,87,6
Progressor,Long Passing,88,6
Progressor,Long Passing,89,6
Progressor,Long Passing,90,8
Progressor,Long Passing,91,8
Progressor,Long Passing,92,8
Progressor,Long Passing,93,10
Progressor,Long Passing,94,10
Progressor,Long Passing,95,15
Progressor,Long Passing,96,20
Progressor,Curve,51,1
Progressor,Curve,52,1
